code,name,sector
005930,삼성전자,전기전자
000660,SK하이닉스,전기전자
373220,LG에너지솔루션,전기전자
207940,삼성바이오로직스,의약품
005935,삼성전자우,전기전자
005380,현대차,운수장비
000270,기아,운수장비
068270,셀트리온,의약품
035420,NAVER,서비스업
051910,LG화학,화학
006400,삼성SDI,전기전자
028260,삼성물산,유통업
105560,KB금융,기타금융
055550,신한지주,기타금융
003670,포스코홀딩스,철강금속
012330,현대모비스,운수장비
066570,LG전자,전기전자
003550,LG,전기전자
096770,SK이노베이션,화학
034730,SK,기타금융
086790,하나금융지주,기타금융
015760,한국전력,전기가스업
017670,SK텔레콤,통신업
033780,KT&G,음식료품
030200,KT,통신업
032830,삼성생명,보험
009150,삼성전기,전기전자
018260,삼성에스디에스,서비스업
316140,우리금융지주,기타금융
010130,고려아연,철강금속
000810,삼성화재,보험
035720,카카오,서비스업
011170,롯데케미칼,화학
024110,기업은행,은행
036570,NCsoft,서비스업
090430,아모레퍼시픽,화학
259960,크래프톤,서비스업
004020,현대제철,철강금속
010950,S-Oil,화학
352820,하이브,서비스업
047050,포스코인터내셔널,유통업
003490,대한항공,운수창고업
138040,메리츠금융지주,기타금융
010140,삼성중공업,운수장비
329180,HD현대중공업,운수장비
011200,HMM,운수창고업
009540,한국조선해양,운수장비
267250,HD현대,운수장비
180640,한진칼,운수창고업
034020,두산에너빌리티,기계
000100,유한양행,의약품
097950,CJ제일제당,음식료품
326030,SK바이오팜,의약품
009830,한화솔루션,화학
042660,한화오션,운수장비
161390,한국타이어앤테크놀로지,화학
000720,현대건설,건설업
028050,삼성엔지니어링,건설업
016360,삼성증권,증권
005490,POSCO,철강금속
251270,넷마블,서비스업
302440,SK바이오사이언스,의약품
088980,맥쿼리인프라,기타금융
009240,한샘,기타제조업
000990,DB손해보험,보험
071050,한국금융지주,기타금융
021240,코웨이,전기전자
039490,키움증권,증권
002790,아모레G,화학
383220,F&F,섬유의복
004170,신세계,유통업
139480,이마트,유통업
128940,한미약품,의약품
000150,두산,기계
006360,GS건설,건설업
005830,DB손해보험,보험
004990,롯데지주,기타금융
271560,오리온,음식료품
005940,NH투자증권,증권
001040,CJ,기타금융
011780,금호석유,화학
000080,하이트진로,음식료품
007070,GS리테일,유통업
005850,에스엘,운수장비
241560,두산밥캣,기계
005070,코스모신소재,화학
011790,SKC,화학
001450,현대해상,보험
192820,코스맥스,화학
006280,녹십자,의약품
000120,CJ대한통운,운수창고업
012450,한화에어로스페이스,운수장비
016380,KG동부제철,철강금속
078930,GS,유통업
077500,유니드,화학
004800,효성,섬유의복
001120,LX인터내셔널,유통업
008770,호텔신라,서비스업
